Station,Max,Min,Rainfall
"ld,.=K jd¾;dj வானிலை அறிக்லை Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2025.06.19
          for the 24 hour period ending at 0830SLTS on this date",,,
wkqrdOmqrh அநுராதபுரம் Anuradhapura,32.7,24.8,0.0
"nÿ,a, பதுளை Badulla",31.2,18.8,0.0
"nKavdrfj, பண்டாரவளை Bandarawela",27.3,18.5,0.0
"uvl,mqj மட்டக்கைப்பு Batticaloa",34.2,27.3,0.0
fld<U ககாழும்பு Colombo,30.8,27.3,0.5
".d,a, காலி Galle",29.3,25.0,6.6
yïnkaf;dg ம்பாந்ததாட்ளட Hambanthota,30.0,26.3,0.0
hdmkh  யாழ்ப்பாணம்J affna,33.2,27.6,0.0
"fudKrd., கமானறாகளல Monaragala",35.0,22.7,0.0
lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota,29.4,22.0,0.4
lgqkdhl  கட்டுநாயக்கா Katunayake,31.2,26.5,TR
"l=reKE., குருணாகல் Kurunagala",32.6,26.0,TR
"uy b¨mam,a,u மஹாஇலுப்பல்லம Maha Illuppallama",32.2,25.7,0.0
ukakdru மன்னார் Mannar,31.5,28.2,0.0
fmdf<dkakrej  கபாலன்நறுவ polonnaruwa,36.1,26.7,0.0
kqjrt<sh  நுவகரலியா Nuwara Eliya,18.8,14.5,TR
"fmd;=ú,a கபாத்துவில் Pothuvil",35.8,25.9,0.0
"m
;a;,u புத்தைம் Puttalam",32.2,27.6,0.0
"r;au,dk இரத்மலாளன Rathmalana",32.6,27.7,0.0
r;akmqrh இரத்தினபுரி Rathnapura,32.8,24.0,0.7
";%sl=Kdu,h திருதகாணமளல Trincomalee",35.4,26.2,0.0
jõkshdj வவுனியா Vavuniya,35.1,25.5,0.0
"u;a;, மத்தை Mattala",34.5,25.3,0.0
මුලතිව් முல்லைத்தீவு Mullaitivu,36.0,27.0,0.0
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீரேந்துப் பேப்பு Hydro Catchment Areas",,,
කාසල්රී காசல்றீச் Castlereigh,0.5,රන්නදණිගල இ ந்மதனிகை Randenigala,
න ෝටන් ந ாட்டன் Norton,2.0,රන්ටැනේ இ ந்தம்நப Rantambe,
මාඕස්සාකැනල්ර ம ௌசக்கநை  Maussakele,0.0,න ෝවතැන්  நபாவத்தன்ன Bowatenna,
කැනියන් கன்யன் Canyon,0.4,උකුනවල உக்குவை Ukuwela,
ලක්ෂපා  ைக்சபான Lakshapana,1.0,සම ළවැව ச னைமவவ Samanala Wawa,
ඉහල නකාත්මනල්ර ந ல்மகாத் லை Upper Kotmale,1.5,කුකුනල්ර ගංඟ குக்குநேகங்க Kukuleganaga,
නකාත්මනල්ර மகாத் லை Kotmale,0.0,මස්නකළිය  ஸ்நகலிய Maskeliya,
වික්නටෝරියා விக்ந ாறியா  Victoriya,0.0,ෑ ඩ  ாமபாலட Neboda,
වටවල வட்டவாைா Watawala,7.9,සිරිකදුර වතුයාය சிறிகந்து  நதாட்டம் Sirikandura Estate (AWS),
අල්රගම அல்க   Algama (AWS),6.5,මාදම්නේ  ாதம்நப Madampe (AWS),
අංනගාඩ அங்மகாலட Angoda,5.5,ෑන ාඩ ந மபாட  Neboda(AWS),
පස්යාල பஸ்யாலை Pasyala,5.0,කළුතර களுத்துலை Kaluthara,
මනඩාල්රතැන්  වතුයාය  மடால்தன்லன நதாட்டம் Madolthenna Estate (AWS)5.0,,ලූල්රකඳුර லூல்கந்துை Loolkandura,
බූස්ස பூஸ்ஸ Boossa (AWS),5.0,නදවිතුරා වතුයාය மதவிது  நதாட்டம் Devitura Estate (AWS),
දැරන්ගල නත්.කර්  மத ங்கை நத. மதா. Derangala TF (AWS),5.0,ඇල්රලකන්ද වත්ත எல்ைகந் த வத்த Ellakanda Watta (AWS),
අයිවරි හිල්රස් නත්.කර්. ஐவி ஹில்ஸ் நத. மதா. Ivy Hills TF (AWS),4.5,නිරිඇල්රල நிரிமயல்ை Niriella (AWS),
කළුපහ  වතුයාය கலுபஹன நதாட்டம்  Kalupahana Estate (AWS),4.5,කිරිදිනවල கிரிந்திவை Kirindiwela,
උඳුනගාඩ உந்துமகாட Undugoda,3.5,උඩරදැල්රල உடைதல்ை Udaradella,
Wmßu j¾Idm;kh  / அதிகூடிய மலைவீழ்ச்சி/ Highest Rainfall :,,7.9 mm වටවල வட்டவாைா Watawala (Nuwara Eliya District),
