0,1,2,3,4
wkqrdOmqrhஅநுராதபுரம்Anuradhapura,32.525.2,,TR,
"nÿ,a, பதுளைBadulla",,,,
"nKavdrfj, பண்டாரவளைBandarawela",,,,
"uvl,mqj மட்டக்கைப்புBatticaloa",,,,
fld<U ககாழும்புColombo,,,,
".d,a, காலிGalle",,,,
yïnkaf;dg ம்பாந்ததாட்ளடHambanthota,,,,
hdmkh  யாழ்ப்பாணம்Jaffna,,,,
"fudKrd., கமானறாகளல Monaragala",,,,
lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota,,,,
lgqkdhl  கட்டுநாயக்காKatunayake,,,,
"l=reKE., குருணாகல் Kurunagala",,,,
"uy b¨mam,a,u மஹாஇலுப்பல்லம Maha Illuppallama",,,,
ukakdru மன்னார்Mannar,,,,
fmdf<dkakrej  கபாலன்நறுவ polonnaruwa,,,,
kqjrt<sh  நுவகரலியாNuwara Eliya,,,,
"fmd;=ú,a கபாத்துவில்Pothuvil",,,,
"m;a;,u புத்தைம்Puttalam",,,,
"r;au,dk இரத்மலாளனRathmalana",,,,
r;akmqrh இரத்தினபுரிRathnapura,,,,
";%sl=Kdu,h திருதகாணமளலTrincomalee",,,,
jõkshdj வவுனியாVavuniya,,,,
"u;a;, மத்தைMattla",,,,
මුලතිව් முல்லைத்தீவு Mullaitivu,36.826.6,,0.0,
"úÿ,s n,d.dr wdY%","; c,dY  நீர்மின் நீரேந்துப் பேப்பு Hydro Catchment Areas",,,
කාසල්රීகாசல்றீச்Castlereigh,47.0,රන්නදණිගල இ ந்மதனிகேRandenigala,,0.0
න ෝටන්ந ாட்டன்Norton,56.2,රන්ටැනේ இ ந்தம்நபRantambe,,0.0
මාඕස්සාකැනල්රம ௌசக்கநே Maussakele,40.0,න ෝවතැන්  நபாவத்தன்னBowatenna,,4.5
කැනියන්கன்யன்Canyon,42.5,උකුනවලஉக்குவேUkuwela,,4.9
ලක්ෂපා ேக்சபானLakshapana,50.3,සම ළවැවச னேமவவSamanala Wawa,,0.0
ඉහල නකාත්මනල්රந ல்மகாத் லேUpper Kotmale,40.5,කුකුනල්ර ගංඟ குக்குநேகங்கKukuleganaga,,5.0
නකාත්මනල්ර மகாத் லேKotmale,11.6,මස්නකළිය ஸ்நகலியMaskeliya,,NA
වික්නටෝරියාவிக்ந ாறியா Victoriya,0.0,ෑ ඩ ாமபாலடNeboda,,NA
වටවල வட்டவாோ Watawala,35.7,නේවගිරි නත්.කර්. நதவகிரி நத. மதா. Devagiri TF (AWS),,11.5
දැරණියගල த னியகே Deraniyagala (AWS),33.5,ලක්ෂපා  නත්.කර්. ேக்ஷபான நத. மதா. Laxapana TF,,11.5
ගුරුළුවා  குறுழுவான Guruluwana,19.3,බූස්ස பூஸ்ஸ Boossa (AWS),,11.0
කුඩාව குடாவ Kudawa (AWS),19.0,නිරිඇල්රල நிரிமயல்ே Niriella (AWS),,11.0
මාදම්නේ  ாதம்நப Madampe (AWS),15.5,අර ායක அறனாயக்க Aranayeka,,9.6
උඩුගම உடுக  Udugama (AWS),12.5,ලබුගම ேபுக  Labugama,,9.5
නේවිේසන් නත්.කර්. நடவிட்சன் நத. மதா. Devidson TF (AWS),12.0,නදල්රවල නත්.කර්. மதல்ேவ நத. மதா. Dellawa TF (AWS),,9.5
කළුපහ  වතුයාය கலுபஹன நதாட்டம் Kalupahana Estate (AWS),12.0,දික්ඔය டிக்நகாயா Dikoya  (AWS),,9.0
න ෝනගාඩ නත්.කර්. நபாமகாலட நத. மதா. Bogoda TF (AWS),11.5,දැරන්ගල නත්.කර්  மத ங்கே நத. மதா. Derangala TF (AWS),,9.0
දූලි ඇල්රල නත්.කර්. துலி எல்ே நத. மதா. Duli Ella TF (AWS),11.5,ඇල්රලකන්ද වත්ත எல்ேகந் த வத்த Ellakanda Watta (AWS),,8.5
