0,1,2,3,4,5
wkqrdOmqrhஅநுராதபுரம்Anuradhapura,,34.225.7,,0.0,
"nÿ,a, பதுளைBadulla",,,,,
"nKavdrfj, பண்டாரவளைBandarawela",,,,,
"uvl,mqj மட்டக்கைப்புBatticaloa",,,,,
fld<U ககாழும்புColombo,,,,,
".d,a, காலிGalle",,,,,
yïnkaf;dg ம்பாந்ததாட்ளடHambanthota,,,,,
hdmkh  யாழ்ப்பாணம்Jaffna,,,,,
"fudKrd., கமானறாகளல Monaragala",,,,,
lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota,,,,,
lgqkdhl  கட்டுநாயக்காKatunayake,,,,,
"l=reKE., குருணாகல் Kurunagala",,,,,
"uy b¨mam,a,u மஹாஇலுப்பல்லம Maha Illuppallama",,,,,
ukakdru மன்னார்Mannar,,,,,
fmdf<dkakrej  கபாலன்நறுவ polonnaruwa,,,,,
kqjrt<sh  நுவகரலியாNuwara Eliya,,,,,
"fmd;=ú,a கபாத்துவில்Pothuvil",,,,,
"m;a;,u புத்தைம்Puttalam",,,,,
"r;au,dk இரத்மலாளனRathmalana",,,,,
r;akmqrh இரத்தினபுரிRathnapura,,,,,
";%sl=Kdu,h திருதகாணமளலTrincomalee",,,,,
jõkshdj வவுனியாVavuniya,,,,,
"u;a;, மத்தைMattla",,,,,
මුලතිව් முல்லைத்தீவுMullaitivu,,36.627.5,,0.0,
"úÿ,s n,d.dr wdY%","; c,dY  நீர்மின் நீரேந்துப் பேப்பு Hydro Catchment Areas",,,,
කාසල්රීகாசல்றீச்Castlereigh,,5.0,රන්නෙණිගල இ ந்மேனிகைRandenigala,,0.0
න ෝටන්ந ாட்டன்Norton,,1.7,රන්ටැනේ இ ந்ேம்நபRantambe,,0.0
මාඕස්සාකැනල්රம ௌசக்கநை Maussakele,,1.7,නබෝවතැන්  நபாவத்ேன்னBowatenna,,0.0
කැනියන්கன்யன்Canyon,,10.5,උකුනවලஉக்குவைUkuwela,,0.0
ලක්ෂපා ைக்சபானLakshapana,,0.8,සම ළවැවச னைமவவSamanala Wawa,,0.0
ඉහල නකාත්මනල්රந ல்மகாத் லைUpper Kotmale,,1.5,කුකුනල්ර ගංඟ குக்குநேகங்கKukuleganaga,,8.0
නකාත්මනල්ර மகாத் லைKotmale,,0.0,මස්නකළිය ஸ்நகலியMaskeliya,,NA
වික්නටෝරියාவிக்ந ாறியா Victoriya,,0.0,ෑබඩ ாமபாலடNeboda,,0.0
මතුගම  த்துக  Mathugama,,22.1,ෑනබාඩ ந மபாட Neboda(AWS),,12.5
අතුරලිය அது லியா Athuraliya (AWS),,16.5,නිරිඇල්රල நிரிமயல்ை Niriella (AWS),,11.0
වරකානපාල வறக்காமபாை Warakapola,,16.4,වටවල வட்டவாைா Watawala,,10.9
කෑරගල கா கை Karagala,,16.0,ඇල්රලකන්ෙ වත්ත எல்ைகந் ே வத்ே Ellakanda Watta (AWS),,10.5
කී ගහවිල கீனாகோவிை Keenagahawila (AWS),,14.0,මානකලි ඇල්රල  ாமகலி எல்ை Makeli ella (AWS),,10.5
යට්ටපාත யட்டபத்ே Yattapatha (AWS),,12.5,දූලි ඇල්රල නත්.කර්. துலி எல்ை நே. மோ. Duli Ella TF (AWS),,8.5
